real_stock_id,lot_id,item_code
35598,35419,112086
35602,35423,112115
35602,54780,112115
38895,38639,112545
40536,40253,112886
48208,47800,122050
48212,47804,122058
50370,49943,122446
50370,56593,122446
25510,25430,123281
27434,27316,131124
27446,55133,131196
27457,27338,131273
29534,29395,132154
31574,51093,132315
31586,31434,132439
33599,33433,134002
33611,33444,135056
33625,33457,141020
33628,52337,141028
33640,33472,141049
33642,51030,141060
33644,33476,141077
37402,37155,143024
37402,51024,143024
37411,37164,143074
37419,37170,143116
37427,55271,143141
37428,37178,143142
37428,55272,143142
51457,56238,143201
38947,52340,143277
38952,51266,145005
46127,45734,152505
46130,45737,152509
46140,45745,152665
46141,45746,152668
21711,53300,154531
25589,25501,155340
25641,56066,155661
25642,25528,155675
25642,53440,155675
29561,52979,156643
37440,37189,158374
37466,37214,158703
40614,40322,161042
40630,40336,162041
42503,51101,171108
42526,51025,171193
48353,47928,181325
50473,50030,184229
50476,56603,184242
21792,21766,185195
23763,53612,210076
27563,27429,210923
27573,27439,211072
29591,51120,211119
29591,56585,211119
29594,53246,211173
29595,29444,211179
29606,29454,211235
29611,29459,211264
29612,29460,211269
29612,56586,211269
29625,29473,211339
29625,55275,211339
29628,29476,211356
31651,31489,211655
31655,31493,211682
33720,33546,213077
33741,33567,213277
35721,35523,215021
35740,54652,215177
37487,37234,215361
37488,37235,215362
37492,37239,215436
39045,38766,231095
40740,40434,241035
27590,27455,631085
