"得意先コード","伝票日付","伝票Ｎｏ","伝票区分","行Ｎｏ","データ区分","商品コード","商品名１","商品名２","商品区分","単位","入数１","入数２","ケース数","ボール数","数量","特売区分","原価単価","原価金額","売価単価","売価金額","相手単価","相手金額","粗利金額","行備考区分","行備考","分類コード","部門コード","仕入先コード","ＪＡＮコード","相手商品コード","表示相手商品コード","請求日付","請求先コード","単価コード","担当者コード","集計コード","チェーンストアコード","取引先コード","社店コード","相手分類コード","相手伝票区分","相手伝票Ｎｏ","伝票備考区分","伝票備考","Ｆ欄","チェーンストア本店区分","伝票種区分","和暦印字区分","ＥＯＳ区分","得意先課税区分","商品課税区分","伝票発行済フラグ","納品データ作成区分","区分２","区分３","単価書換区分","発注仕入先コード","発注日付","発注伝票Ｎｏ","発注行Ｎｏ","仕入完了区分","作成日時","更新日時","違算日付","マスタ単価","リベート"
"00000934","2026/02/20",9340949,17,1,1,"4940507006357","カットほうれん草　ﾌﾞﾛｯｸ冷凍","１ｋｇ",0,"",10,1,9,0,90,0,0,0,350,31500,749,67410,-35910,0,"","01","11","31800","4940507006357","","","2026/02/20","00000934","61000001","9999","9999","99999999","","","","","0",0,"","",0,1,0,0,1,1,0,0,0,0,0,"31800","2026/02/18",9340949,1,1,"2026/02/18","2026/02/18","",350,0
"00000934","2026/02/20",9340949,17,2,1,"4940507019210","刻み玉ねぎ","５００ｇ　　　　",0,"",20,1,1,0,20,0,0,0,174,3480,259,5180,-1700,0,"","01","11","31800","4940507019210","","","2026/02/20","00000934","61000001","9999","9999","99999999","","","","","0",0,"","",0,1,0,0,1,1,0,0,0,0,0,"31800","2026/02/18",9340949,2,1,"2026/02/18","2026/02/18","",174,0
"00000934","2026/02/20",9340953,17,1,1,"4940206901052","香味焙煎ごまドレッシング","１Ｌ",0,"",6,1,1,0,6,0,0,0,510,3060,638,3828,-768,0,"","03","31","10277","4940206901052","","","2026/02/20","00000934","61000001","9999","9999","99999999","","","","","0",0,"","",0,1,0,0,1,1,0,0,0,0,0,"10277","2026/02/18",9340953,1,1,"2026/02/18","2026/02/18","",510,0
"00000934","2026/02/20",9340953,17,2,1,"4940206901069","マヨネーズ（卵黄タイプ）","１ｋｇ",0,"",10,1,4,0,40,0,0,0,451,18040,528,21120,-3080,0,"","03","31","10277","4940206901069","","","2026/02/20","00000934","61000001","9999","9999","99999999","","","","","0",0,"","",0,1,0,0,1,1,0,0,0,0,0,"10277","2026/02/18",9340953,2,1,"2026/02/18","2026/02/18","",451,0
"00000934","2026/02/20",9340953,17,3,1,"4940206901700","本醸造　濃口しょうゆ","１．８Ｌ",0,"",6,1,2,0,12,0,0,0,310,3720,378,4536,-816,0,"","03","31","10277","4940206901700","","","2026/02/20","00000934","61000001","9999","9999","99999999","","","","","0",0,"","",0,1,0,0,1,1,0,0,0,0,0,"10277","2026/02/18",9340953,3,1,"2026/02/18","2026/02/18","",310,0
"00000934","2026/02/20",9340954,17,1,1,"4901458200140","いりごま（白）","１ｋｇ",0,"",12,1,1,0,12,0,0,0,540,6480,680,8160,-1680,0,"","03","32","10277","4901458200140","","","2026/02/20","00000934","61000001","9999","9999","99999999","","","","","0",0,"","",0,1,0,0,1,1,0,0,0,0,0,"10277","2026/02/18",9340954,1,1,"2026/02/18","2026/02/18","",540,0
"00000934","2026/02/20",9340954,17,2,1,"4940206900598","純正ごま油","１６５０ｇ",0,"",6,1,2,0,12,0,0,0,1640,19680,1980,23760,-4080,0,"","03","32","10277","4940206900598","","","2026/02/20","00000934","61000001","9999","9999","99999999","","","","","0",0,"","",0,1,0,0,1,1,0,0,0,0,0,"10277","2026/02/18",9340954,2,1,"2026/02/18","2026/02/18","",1640,0
"00000934","2026/02/20",9340946,17,1,1,"4901321772361","ルイボスティー　ＴＢ","３ｇ×１８Ｐ",0,"",10,1,5,0,50,0,0,0,235,11750,328,16400,-4650,0,"","03","32","22091","4901321772361","","","2026/02/20","00000934","61000001","9999","9999","99999999","","","","","0",0,"","",0,1,0,0,1,1,0,0,0,0,0,"22091","2026/02/18",9340946,1,1,"2026/02/18","2026/02/18","",235,0
"00000934","2026/02/20",9994607,17,1,1,"4902688350247","そのまんま食べるにんにく","１０ｇ",0,"",30,1,1,0,30,0,0,0,94,2820,118,3540,0,0,"","03","31","22122","4902688350247","","","2026/02/20","00000934","61000001","31","9999","99999999","","","","","0",0,"2/20着","",0,1,0,0,1,1,1,0,0,0,0,"22122","1900/01/01",0,0,1,"2026/02/18","2026/02/18","",94,0
"00000934","2026/02/20",9994607,17,2,1,"9999999999996","送料","",0,"",1,1,1,0,1,0,0,0,1200,1200,0,0,0,0,"","08","81","22122","9999999999996","","","2026/02/20","00000934","61000001","31","9999","99999999","","","","","0",0,"2/20着","",0,1,0,0,1,1,1,0,0,0,0,"22122","1900/01/01",0,0,1,"2026/02/18","2026/02/18","",0,0
"00000934","2026/02/20",9340950,17,1,1,"4977811701708","クッキングペーパーソフト(中)","８０枚×２",0,"",6,1,4,0,24,0,0,0,460,11040,598,14352,-3312,0,"","08","81","33027","4977811701708","","","2026/02/20","00000934","61000001","9999","9999","99999999","","","","","0",0,"","",0,1,0,0,1,1,0,0,0,0,0,"33027","2026/02/18",9340950,1,1,"2026/02/18","2026/02/18","",460,0
"00000934","2026/02/20",9340950,17,2,1,"4977811701715","クッキングペーパーソフト(大)","８０枚×２",0,"",6,1,1,0,6,0,0,0,690,4140,980,5880,-1740,0,"","08","81","33027","4977811701715","","","2026/02/20","00000934","61000001","9999","9999","99999999","","","","","0",0,"","",0,1,0,0,1,1,0,0,0,0,0,"33027","2026/02/18",9340950,2,1,"2026/02/18","2026/02/18","",690,0
